Dia;Março_2017;Abril_2017;Maio_2017;Junho_2017;Julho_2017;Agosto_2017;Setembro_2017;Outubro_2017;Novembro_2017;Dezembro_2017;Janeiro_2018;Fevereiro_2018;Março_2018;Abril_2018;Maio_2018;Junho_2018;Julho_2018
1;87;83.8;83.6;83.6;83.3;82.8;82.5;83.3;83.4;84;86.3;86.1;85.6;86.7;87;86.7;86
2;86;84.4;83.7;83.5;83.6;82.5;82.2;83;83.1;84.1;86;87;86.5;86.8;88;86.4;86.5
3;86;85;83.1;84.1;83.8;83.2;83.5;83;83.2;84.3;85.7;87;86.6;86;87.2;86.2;86
4;86;83.8;83;83.4;83;83.1;83;83;83.4;84.4;85.4;87;86.4;86.6;87;88;86.1
5;86;84;83.6;84.1;82.2;82.4;82.1;82.4;83.5;84.4;85.4;87.2;86.6;87;86.8;86.7;85.7
6;86;83.5;83.7;83;83.2;83.3;82.2;82.6;84;84.4;85.6;87;86.4;87.6;86.4;86.4;85.3
7;86;83.5;84;84.1;83;83.5;82.6;82.1;83;84.7;85.6;86.7;85.9;87;87;86.1;85.9
8;86;83;84;84.5;83;83.2;83;82.2;83.2;83.5;86.5;87.1;85.6;87;86.4;87;85.5
9;86;83.5;83.1;84;82.6;83.2;83;82.3;82.8;84.4;85.2;87;86.4;87.7;87.4;87;85.6
10;86;83.9;83.7;84.2;83.4;82.4;83.2;82.3;83;84.5;86;87;85.5;87.5;87;87.3;85.6
11;86;83.7;83.1;84.2;83.6;82;83.3;82.2;83.4;84.5;85.7;87;86.5;87.2;87;88.2;86.6
12;86;83;83.4;84.7;83.8;83;84.3;82;83.5;84.5;85.8;87;87.9;87.5;86.5;87;86.3
13;86;83.1;83.5;83.5;83.4;83.5;83.3;82.4;84;84.5;85.7;86.8;86.6;87.5;86.5;86.6;86
14;86;83.6;83.5;83.2;83;83.3;83.5;82.4;83.1;84.5;86.2;86.6;86.7;87.5;86.5;87.7;86.3
15;86;83.6;84.2;83.1;83.5;83.1;83.4;82.2;82.8;84.5;86.2;87.7;87;88.3;86.4;87.6;85.5
16;86;83.6;83.5;83.5;83.8;82.8;82.6;82.9;83.2;84.5;86.2;88;86.4;87.7;87.1;87.7;86.2
17;86;84;83.7;83.6;84.4;83.3;83;82.4;82.8;84.5;87;88;86.4;87.6;87;87.7;85.6
18;86;82.9;83.4;83;83;83.1;83.5;82.4;83.5;84.5;86.6;87.5;85.9;87.2;87.3;87;85.2
19;84.5;83.2;83.2;84.4;83;82.3;83.5;82.5;83.7;84.5;86.2;87.5;86.7;87.7;87.7;86.7;84.9
20;85.5;84.5;83;83.6;82.7;83;83.3;83.1;83.4;84.5;86.4;87.5;86;87.7;87.5;86.7;86.1
21;85.5;83.5;83.4;83;83.4;83;82.7;83;83;84.5;86.2;87.5;86.1;88;87;86.3;87.2
22;85.5;84.3;83;83;83.2;82.3;82.6;82.8;83.4;84.4;86.2;87.5;86.4;88;87.2;86.8;86
23;85.5;84.5;82.9;83.4;83.4;82.4;83;82.4;83.4;84;86.2;87.5;86.4;88.2;87.3;86.2;86.1
24;85;84.5;83;83.4;83.7;82.5;83;83;85.7;85;86.2;87;86.4;87.4;87;86.5;85.8
25;84.5;84.3;83.1;83.7;83.1;82.1;83.6;82.7;84.3;85;86;87.2;87.1;87;86.8;86.5;86.6
26;84.4;84;82.8;84;83.3;82.5;83.1;83.5;84;86;87;88;86.7;87.1;87;86.4;85.8
27;84.3;83;83.4;84;83.7;82.8;83;83.1;84.6;85.1;87;86.6;86.7;87.2;87.4;85.2;85.6
28;84;83.1;84.3;83.5;83.1;83.3;82.5;83;83.6;86;87;86.4;86.4;87.5;88;86.5;87
29;83.7;83.6;84.3;83.5;82.6;82.4;82.4;84.3;83.5;84.5;88.1;86.3;86.4;88;87.4;86.5;85.3
30;83.6;83.8;83.7;83.3;83.2;83.1;82.6;83.8;84;84.7;87.1;;86.6;87.7;87.3;86.6;86.6
31;84;;83.2;;82.8;83.2;;83.5;;;87.1;;86.6;;87.2;;85.5